X	Y	Cat
-13.0936081851	3.28351284552	Latin American
-13.1269648595	-2.20983748358	Latin American
-12.9799979835	6.10176203156	Latin American
6.10456395849	9.12609550513	Latin American
8.29561219675	-12.258037767	Latin American
-1.00058884081	3.40186868134	Latin American
5.10462508865	3.95401111695	Latin American
1.16137424214	-10.2849657455	Latin American
-22.6319066325	-9.81437992649	Latin American
4.18087515528	12.995680284	Latin American
8.05075484592	11.1079266213	Latin American
7.94576234084	-1.04952484868	Latin American
-16.1362574876	-5.26679790943	Latin American
9.9681897542	17.8838566388	Latin American
-11.6767244471	-6.82993220755	Latin American
19.6445972047	-15.8795424682	Latin American
4.92016082425	0.0862187207708	Latin American
11.2736189607	14.7524472397	Latin American
-15.8600712433	-5.15857952579	Latin American
20.0712573001	6.40235292362	Latin American
5.97192251308	-1.57303237989	Latin American
1.96106194008	2.80318215559	Latin American
12.5352268428	-15.9800336212	Latin American
-18.0752466969	-12.4510110693	Latin American
4.63266201009	-15.3569411674	Latin American
8.14611228549	-1.25068811583	Latin American
7.4752195518	5.31172450249	Latin American
14.5080223548	-1.45137833485	Latin American
9.66824985974	7.15423073899	Latin American
4.64462334231	-15.240968481	Latin American
-1.65664471584	4.73642486049	Latin American
6.48898891573	11.4862368802	Latin American
14.1944189763	6.22450312189	Latin American
10.3701814627	-0.221838436593	Latin American
-11.6309422247	0.33024541024	Latin American
-2.23192503393	2.35249502345	Latin American
15.7354165737	11.1939106049	Latin American
-15.2678398991	5.31558870909	Latin American
-6.84638498424	-22.9665009769	European
15.2922039473	-3.09783578292	European
-2.9767079296	-5.52601319433	European
-5.60579190149	-7.89245031255	European
-0.300567129527	-12.530192104	European
14.2790308401	-11.9801683456	European
25.5881513112	-11.7844313604	European
16.8935876279	15.8463958468	European
-4.93390731009	-17.9103617104	European
0.842837445957	-21.8448628829	European
-5.74755000235	-11.5077617516	European
-7.30004706346	-5.90309972891	European
6.56248751215	2.11303976762	European
22.1315830949	-12.6377195403	European
-7.07066986226	-2.83392907729	European
-0.0619061680728	-8.30304036828	European
-17.6429704494	5.54824901242	European
19.6095565229	11.6656354584	European
-12.69081207	-18.9111834347	European
11.6422956104	-8.4154147974	European
23.4643175925	-11.9038685975	European
19.0540042133	-17.5523232069	European
14.9151823753	-13.6265228454	European
-8.85700482291	-18.7049109971	European
-8.83709890575	-18.6045966613	European
-2.16419634909	-25.4178835865	European
-3.43206464026	-22.4405682715	European
